"Region","District","Period","start","end"
"Tigray","Saharti Samre","Hintsa","flowering","2019-08-07","2019-09-12"
"Tigray","Saharti Samre","Hintsa","tasseling/seed filling","2019-08-22","2019-09-27"
"Tigray","Saharti Samre","Hintsa","harvesting","2019-11-20","2019-12-10"
"Tigray","Ofla","Adishimbirkti","land preparation","2019-12-14","2020-06-07"
"Tigray","Ofla","Adishimbirkti","planting","2019-07-01","2019-07-14"
"Tigray","Ofla","Adishimbirkti","flowering","2019-09-01","2019-09-13"
"Tigray","Ofla","Adishimbirkti","tasseling/seed filling","2019-10-01","2019-10-16"
"Tigray","Ofla","Adishimbirkti","harvesting","2019-11-05","2019-12-05"
"Tigray","Ofla","Zata","land preparation","2019-12-15","2020-04-07"
"Tigray","Ofla","Zata","planting","2019-06-28","2019-07-02"
"Tigray","Ofla","Zata","flowering","2019-08-22","2019-09-12"
"Tigray","Ofla","Zata","tasseling/seed filling","2019-09-16","2019-09-26"
"Tigray","Ofla","Zata","harvesting","2019-11-08","2019-12-02"
"Tigray","Ofla","Fala","land preparation","2019-01-12","2019-06-07"
"Tigray","Ofla","Fala","planting","2019-07-01","2019-07-22"
"Tigray","Ofla","Fala","flowering","2019-09-07","2019-09-21"
"Tigray","Ofla","Fala","tasseling/seed filling","2019-10-12","2019-10-27"
"Tigray","Ofla","Fala","harvesting","2019-11-09","2019-12-05"
"Tigray","Alamata","Tsetsera","land preparation","2019-12-09","2020-05-14"
"Tigray","Alamata","Tsetsera","planting","2019-06-30","2019-07-12"
"Tigray","Alamata","Tsetsera","flowering","2019-08-22","2019-09-12"
"Tigray","Alamata","Tsetsera","tasseling/seed filling","2019-09-17","2019-09-28"
"Tigray","Alamata","Tsetsera","harvesting","2019-10-18","2019-11-30"
"Tigray","Alamata","Sorya","land preparation","2019-12-16","2020-03-30"
"Tigray","Alamata","Sorya","planting","2019-07-10","2019-07-18"
"Tigray","Alamata","Sorya","flowering","2019-09-10","2019-10-05"
"Tigray","Alamata","Sorya","tasseling/seed filling","2019-10-10","2019-10-16"
"Tigray","Alamata","Sorya","harvesting","2019-10-30","2019-11-30"
"Tigray","Samre","MayTeklia","land preparation","2019-09-15","2019-09-23"
"Tigray","Samre","MayTeklia","planting","2019-06-15","2019-09-30"
"Tigray","Samre","MayTeklia","flowering","2019-08-23","2019-09-24"
"Tigray","Samre","MayTeklia","tasseling/seed filling","2019-09-16","2019-09-27"
"Tigray","Samre","MayTeklia","harvesting","2019-10-15","2019-11-17"
"Amhara","Libo Kemkem","Bilb Wuha","land preparation","2019-12-11","2020-05-01"
"Amhara","Libo Kemkem","Bilb Wuha","planting","2019-06-02","2019-06-23"
