"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"27-Mar",0,0,1.1120873,0,0,0,2.474807,2.924059,0,0,1.1120873,0,0,1.946866,0,0,0,0,0,17.33183,0,0,0,0,15.01249,0,0.3450908,0,0,0,0,0,0,0,0,0,0,0
"28-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90522,0,0,2.937639,0,0,0,0,0,0,0,0,0,3.03919,0,0,0,0,0,0,0.8358015,0
"29-Mar",0,0,0,0,0,0.929987051621622,14.11173,2.601547,0,0,0,0,0,0,0,0,0,0.05541791,0,9.294619,8.346207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-Mar",0.1466306325,0,0.1466306325,0,0,0,0,1.545063,0,0,0,0.7892696,0.08639087,0,0,0,0,0,0,0.1218663,0,0,0,0,0,0,1.541427,0,0,0,0,0,0,1.194686,0,0,0,0
"31-Mar",0,0,0.0462903432432432,0,0,0,0,0,0,0.106721,0.62028,0,0,0,0,0,0,0,0.9857417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Apr",0,0,0.1342146,0.09300902,0,0,0,0,0,0,0,0.656723967027027,0,0,0,0.01221116,0,0,0,0,0,3.355258,0,0,0,0,0,0,0,0,0,1.700481,0,3.678263,0,15.32535,0,0
"2-Apr",0,0,0,0.416577,0,0,0,0,0,0,4.839009,0,1.112486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Apr",0,0,0,0,12.42154,0,0,0.795069651351351,0,0,0,0,0,5.037701,9.948442,0,0,0,0,1.593133,0,0,0,0,0,0,0,0,0,0,0,0.1517189,0,0,0,0.2650422,0,0
"4-Apr",0,0,0.355972261621622,0.8836322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1233024,0,0,0,1.031697,0,0,3.331688,0,0,0,0,0.09588518,0,2.685628,0,0,0,0.5827879,0,4.436353
"5-Apr",0,0,0,0,0,0,0.636106843243243,0,2.861039,0,0,0,0.6023756,0,2.276889,0,0,10.10803,0,0,0,0.3537866,0,0,5.849858,0,0,0,0,0,0,0,0,0,0,1.483975,0,0
"6-Apr",0,0,0,0.6071957,5.598066,0,1.17604015194444,0,6.692437,0,0,0,1.17604015194444,0,0.757318,0,0,13.31001,0,6.51547,0,0,0,0.5609785,0.01121507,0,0.1192452,0,0,0,0,4.808716,0,0,0,0,3.356794,0
"7-Apr",0,0,0,0.346262114054054,0,1.296501,0,0,2.269584,0,0,0,0,1.502717,7.705102,0,0,0,0,0.03779422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-Apr",1.3366761227027,0,0,0,2.31853,0,0,0,3.808407,0,3.28297,0,0,0,0,0,0,0,0,0,0,0,0,38.9706,0,0,0,0,0.9944548,0,0,0,0,0,0,0,0.08205474,0
"9-Apr",0,1.606897,0,0,0,0,0,0,0,0,3.878872,0,0,0,0.3922498,0,0,0,0,0,0,0,0,0,0,2.017142,0,0.3122009,0,0,0,0,0,2.184968,0,0,0,0
"10-Apr",34.72748,0,18.35513,0,0,0,0,0,5.327874,0,1.265194,0,0,0,0,3.057358,0,0,0,0,0,0,0,1.837083,0,8.040059,0,4.93053,0,0,0,0,0,0,0,0,1.191485,0
"11-Apr",0,0,0.9789898,0,0,0,0,0,0,0,11.08815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.828448,0,0.174805,0,0,0,0,0,0,0,0,1.231028,3.479836
"12-Apr",0,3.345648,0.7733569,0,0,0,0,0,0,0,0,0,0.4024938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5596466,0,0.3937633,0,0,0,0,0,0,0,0.07562013
"13-Apr",4.158097,0.524879,0.1240989,0,0.04986214,0,9.088241,0,0,0,0,0,1.494389,0,0,0,3.819362,0,0,0,0,0,0,0,0,0,0,0,0,2.907215,0,0,0,0,0,0,0,5.179152
"14-Apr",0,0,0,1.840344,29.46998,0,0,0,0,0,0,0,0,3.748816,0,0.4925676,0,0,0,0,0,0,0,0,0,0,0,1.229831,0,0,6.968809,0,0,0,0,0.2303898,0,0
"15-Apr",0,0,0,0.3140879,0,0,0,0,0,0,0,0,4.354062,0,0,0,0,0,0,0,0,0,4.588016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175896,0
"16-Apr",0,0.9758615,0,0,0,2.121085,0,0,0,0.06552619,0.403550221944444,2.275169,0.7557026,0,0,0,0,7.590374,0,0,0,0,0.7440897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403550221944444
"17-Apr",0.5477996,0,0,0,0,3.966544,0,0,0,0,0.4128938,0.9818071,3.460191,0,0,0,0,4.067106,0,0,3.374266,0,8.109967,0,0,0,3.103342,5.506285,0,0,23.48329,0,0,24.40883,0,0,0,2.20060328378378
"18-Apr",0,0,0,0,0,0,0,0,0,1.413849,2.604499,0.3885767,0.1217912,0,0,0,0,0.6457903,0,0,0,0,0.36599245,0,3.122725,0,0,0,0,0,1.783082,0,0,0,0,0,3.095415,0.36599245
"19-Apr",4.274238,0,0,0,0,0,0.672112107777778,0,0,0,0,0.1813853,0.452674,2.0269,0,0,0,0,0,0.09590858,0,0,0,17.16493,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672112107777778
"20-Apr",0,0,0,0.05539837,0,0,0,0,0,0,0,0,0,0.4303787,0,0.0430014,0,0,0,0,0,0,0,1.043333,0,0,0,0.01894033,0,0,0,0,0,0,0,0,0,0.0430014
"21-Apr",3.356006,0,0,0.1423813,1.68234319305556,0,0,0,0,0,0,0,5.498321,0,0,0,0,2.982879,0.723525,0,0,0,29.09676,0,0.203676,0,0,0,11.6704,0,0,0.6321111,0,0.04122555,0,2.454401,3.762669,1.68234319305556
"22-Apr",0.490441,0,1.388399,2.070688,0.474934485,0.1451272,0,0,0,0.1058774,4.004853,0,0,0,0,0,0,0,3.0427,0,0,3.112697,0,0.03632826,0,0,0,0.9100787,0,0,0,0.5854239,0,0,0,0,1.205028,0.474934485
"23-Apr",0,0,0,2.421066,0,0.1283739,0.1412472,0,0,0,7.509824,0,0,0,2.52317,0,0,13.86924,0,0,0,0,4.238925,0,0,0,0,0.4227698,0,0.02607797,0,3.065438,0,0,0,0,0,0.928273834324324
"24-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,5.671825,2.829705,0,0,0,0,0,0,2.847859,0.02447088,0.07707533,0,0,0,0,0,4.062981,0,0,0,0,0,0.6199915,0,0.43605155972973
"25-Apr",0.667870156388889,0,0,0,0,0,0,0,0,0.04360521,3.208918,2.174153,2.321295,0,0.1516313,0,0,0,0,0,0,7.870481,0.8382436,0,0,0,0,2.250336,0.3462106,0,0,4.764198,0,0.07425392,0,0,0,0.667870156388889
"26-Apr",0.799207431428571,0,0,6.652763,0,0,0.799207431428571,0,0,0.1542581,13.74194,1.411715,0,2.474899,0.799409,0,0,0,0,0,0,0,1.382485,0,0,0,0,0,0,0,0,0,0,0,1.354791,0,0,0.799207431428571
"27-Apr",1.85849217647059,0,1.85849217647059,0,0,0,1.85849217647059,12.98006,0,0,0.758545,15.94578,0,0,26.16583,0,0,0,0,0,0.1035727,0,0,1.245553,4.66585,0,0,0,0,0.4447717,0,0,0,0.4234899,0.4552817,0,0,1.85849217647059
"28-Apr",0.941057972941176,0,0.941057972941176,0,0,0,0.941057972941176,0,0,0,3.652194,0,0.7957698,4.698695,0,0,0,0,0,0,0.02652208,0,4.067311,0,0,0,0,0,0,0.038136,4.598623,10.97637,0,0.9436353,0.3515669,1.847148,0,0.941057972941176
"29-Apr",0.933188904571429,0,0.933188904571429,0,0,0,0,0.4777761,0,0,0,0,0.1339636,0,0,0,0.4566709,0,0,0,3.205985,0,0,0,0.02788026,2.612938,0,3.235393,0,0,0,2.88693,0,0.1054088,12.12227,0,7.396396,0.933188904571429
"30-Apr",1.06756286111111,0,4.404922,0,0,0,0,3.399512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.79032,0,4.453791,0,0,0,0,0,0,0.383718,0,0,1.06756286111111
"1-May",0,0,0,1.05901533333333,0,0,0,0,0,0,0,2.878964,0,0,0,0,0,0,7.229691,0,0,0,0,0,0,15.43628,0,5.478155,0,0,0,0,0,7.101462,0,0,0,1.05901533333333
"2-May",2.143153,0,0,0,0,0,0,0,0,0,0,2.618046,0,0,0,5.111186,0,0,0,0.03131752,0,0.2307149,4.314342,7.182319,0,0,0,2.344793,0,0,0,0,0,0.2482826,0,0,0,0.654706865405405
"3-May",5.136415,0,8.170566,0,0,0,0,0,0,2.209284,0,0,0,0,0,10.08148,0,0,0,0,0,0,0,1.200051,0,0,0,10.99596,9.417189,0,4.287646,0,9.664704,0,0,0,0,1.65306202702703
"4-May",0,0,1.11735693027778,0,0,0,0,0,0,20.28356,0,0,0,0,0,0,0,1.354724,0,0,0,0,0,0.4107981,0,0,0,5.757502,0,5.671257,0,0,3.777888,0.02501039,2.94411,0,0,1.11735693027778
"5-May",2.773535,0,1.11491066028571,0,0,0,0,0,6.365754,0,0,0.1876139,3.011981,0,1.11491066028571,2.649373,0,0.2059372,0,0,0,0,1.530287,0,0.02250701,4.106473,0,9.328788,0,0,0,0,2.432785,1.540962,4.865877,0,0,1.11491066028571
"6-May",0,0,1.0922469875,0.04708645,3.560089,0,0,0,2.715107,4.310721,0,2.223025,3.204404,0,2.744371,0,0,1.339718,0,0,0,0,0,0,0,5.59613,0,0.3403569,0,6.688648,1.31439,0,0,0,0.9436902,4.293155,0,1.0922469875
"7-May",1.084949,0,0,0,7.789288,0,0,0,7.67064,2.914573,2.708499,0,0,0,0.09354636,0,0,0,0,0,0,0,0,0.05939888,0,0.09112817,0,0,0,0,0,0,0,0.01422091,2.832109,0,0,0.682658170810811
"8-May",0,0.6994572,0,0.6516092,0,0,0,0,2.058249,0,0,0,0,0.9442527,0,0,1.669642,4.988001,0,0,0,0,0,1.482094,1.160512,0,0,0,0,0,0.3989515,0,0,0,0,0,0,0.379804556756757
