"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"18-Apr",0,0,0,0,0,5.418622,1.411687,0,0,5.113611,0,0,0,0,0,0,0,0,0,0,0,0,0.581400138888889,0,0,0,0,0,0,0,0,0,0,0,0,0,8.986485,0.581400138888889
"19-Apr",0,0,0,0.5873789,0,0,0.839688747222222,0,8.451534,0,0,0,5.455284,0,13.57551,0,0,0,0,0,0,0,0,0,0,0,0,0,2.159088,0,0,0,0,0,0,0,0,0.839688747222222
"20-Apr",0,0,0,0,14.58492,0,0,0,0,0.2676135,0,0,1.925607,0,0,0.466059458333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466059458333333
"21-Apr",3.203852,0,8.375637,0,0.547554694444444,0,1.601982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.717243,3.813255,0,0,0,0,0,0,0,0,0,0,0,0.547554694444444
"22-Apr",0,0,0,4.621809,0.767434027777778,0,0,0,0,0.504769,0,0,0,0,0,0,0,16.40591,0,0,0,0,0,0,0,0,0,0,0,0,0,6.095137,0,0,0,0,0,0.767434027777778
"23-Apr",0,0,0,0,0,0,3.41536,0,0,0,1.073409,0,0,6.63492,0,0,8.713191,0,0,0,0,24.7601,8.026349,0.7100302,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44144214054054
"24-Apr",0,0,0,0,0,0,0,0,0,9.391069,0.8943576,0,0,9.497531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.180308,0,0,0.674682854054054
"25-Apr",1.03614621944444,0,0,0.4737919,0,0,3.966736,0,0,0,6.377203,0,0,6.281065,0,1.664098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.53837,0,0,1.03614621944444
"26-Apr",1.70838591428571,0,0,0,0,0,1.70838591428571,0,0,0,9.100641,0,0,0,0,0,0,0,0,0,0,0,0,0,41.84689,4.459971,0,0,0,0,0,4.386005,0,0,0,0,0,1.70838591428571
"27-Apr",0.969132014705882,0,0.969132014705882,0,0,0,0.969132014705882,9.375373,0,0,0.2603954,0,0,5.910211,0,0,0,0,0,0,0,0,0,0,0,0,9.958021,0,0,0,0,6.69869,0,0,0.7477981,0,0,0.969132014705882
