"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"Woynye","1","0.68","0.43","0.59","1","0.65",,"0.12"
"WuhdetG","0.3","0.76","0.08","0.65","0.3","0.24",,"0.12"
"WuhdetK","0.22","0.51","0.08","0.11","0.22","0.19",,"0.06"
"WushaTires","0.46","0.41","1","1","0.46","0.57",,"0.03"
"Yedwuha","0.86","0.68","0.65","0.73","0.86","0.78",,"0.12"
"Yeju","0.89","0.68","1","0.81","0.89","0.7",,"0.69"
"Yetefet","1","0.68","0.73","1","1","0.86",,"0.09"
"YifagAkababi","0.46","0.41","0.54","1","0.46","0.7",,"0.03"
"Yitihana","0.65","0.68","0.57","0.68","0.65","0.73",,"0.12"
"Zata","0.49","0.62","0.16","0.27","0.49","0.57",,"0.25"
"Ziha","0.68","0.41","0.46","0.65","0.68","0.7",,"0.06"
"ZihonHuha","1","0.68","0.62","0.73","1","0.62",,"0.09"
"ZobarYikuanda","0.84","0.68","0.73","0.89","0.84","0.43",,"0.16"
"Zongi","0.16","0.38","0.05","0.38","0.16","0.11",,"0.03"
