"","Lat","Lon","Region","EarlyAdjRain","LateAdjRain","EarlyRank","LateRank","EarlyPay","LatePay","SumPay"
"Keregna","12.0875","37.63355","Libo Kemkem","75","75","0.81","1","0","0","0"
"Kihen","13.6227","39.564816","KinteAwelo","5","47","0.22","0.27","100","0","100"
"Kita","12.23886","38.36343","Ibinat","39","73","0.89","0.51","0","0","0"
"Korme","12.5342","39.73416667","RayaAzebo","8","43","0.81","0.3","0","0","0"
"Ksadacki","13.863646","38.702031","Naeder-Adet","75","75","1","1","0","0","0"
"Kudo","14.18524","39.23335","Ahferom","47","44","1","0.14","0","28","28"
"Kuluferha","14.18028","38.41515","Medebay-Zana","75","75","1","1","0","0","0"
"KuluGizeLemlem","12.447477","39.65574","Alamata","9","66","0.81","0.92","0","0","0"
"LaelayDayu","12.466214","39.650299","Alamata","8","43","0.81","0.3","0","0","0"
"Laelayhahaile","14.17428","39.17888","Ahferom","47","44","1","0.14","0","28","28"
"LaelayMegariaTsemri","14.27076667","39.08091","Ahferom","20","32","0.65","0.03","0","77","77"
"Lalaylogomti","14.12735","39.010145","Adwa","60","58","0.97","0.14","0","42","42"
"Ledy","10.3078","38.36659","Shebel Berenta","61","75","0.84","1","0","0","0"
"Lemlem","13.24661667","39.04156667","TanquaAbergele","54","75","0.97","1","0","0","0"
"LemlemArena","13.1531016","39.28141726","Samre","58","68","1","0.54","0","0","0"
"Libo ","12.18526","37.88088","Libo Kemkem","74","75","0.95","1","0","0","0"
"Limaat","12.398839","39.657985","Alamata","9","66","0.81","0.92","0","0","0"
"Limat","13.573974","38.969821","Tanqua-Abergele","75","75","1","1","0","0","0"
"Lul","10.70791","38.40667","Enesie Sar Midir","47","75","0.84","1","0","0","0"
"LusinaAbegeldi","12.18188","38.17096","Ibinat","69","64","1","0.32","0","0","0"
"Maekelawi","14","39.1","WiereLahe","49","62","0.95","0.22","0","9","9"
"MaekelSegli","13.9","38.9","WiereLahe","75","75","1","1","0","0","0"
"MahbereWeyni","13.69048333","39.55716667","KinteAwelo","0","40","0.19","0.3","100","0","100"
"MariamShewito","14.21718","38.95662","Adwa","53","50","0.95","0.08","0","48","48"
"Martadios","12.24637","37.87177","Libo Kemkem","74","75","0.95","1","0","0","0"
"MayChekemte","14.079","39.11258","Werieleke","60","48","1","0.05","0","48","48"
"MayNebri","14.08517","39.27922","Werieleke","37","43","0.97","0.14","0","27","27"
"Maysuru","14.2793","39.17853333","Ahferom","12","31","0.59","0.03","0","66","66"
"MayTeklia","13.254226","39.242201","Samre","41","72","0.89","0.51","0","0","0"
"Mearey","13.19138333","38.99416667","TanquaAbergele","54","75","0.97","1","0","0","0"
"Mechare","12.76645","39.811","RayaAzebo","5","37","0.73","0.41","100","0","100"
"Mechena","12.06952","38.04879","Ibinat","75","72","1","0.22","0","10","10"
"MehalGoncha","11.05474","38.20915","Goncha Siso Enesie","61","75","0.92","1","0","0","0"
"Mekan ","12.74920333","39.52550166","Endamekoni","5","41","0.76","0.22","100","3","103"
"MekaneGenet","11.00523","38.33391","Enesie Sar Midir","47","75","0.81","1","0","0","0"
"Melabesh","10.83523","38.4583","Enesie Sar Midir","60","75","0.97","1","0","0","0"
"MendereMariam","12.30258","37.68869","Libo Kemkem","75","75","1","1","0","0","0"
"Menegobena","10.38347","38.30311","Shebel Berenta","54","75","0.81","1","0","0","0"
"Menji","13.69308333","38.89091667","KolaTembien","75","75","1","1","0","0","0"
"Mergech","10.33402","38.31965","Shebel Berenta","64","75","0.92","1","0","0","0"
"Mesanu","13.7033","39.66021667","KinteAwelo","0","18","0.24","0.05","100","80","180"
"Mesehle","14.12451","38.42014","Medebay-Zana","75","75","1","1","0","0","0"
"Meswaeti ","12.69882","39.54465833","Endamekoni","5","41","0.76","0.22","100","3","103"
"Metkel","13.36833","39.33889","Hintalo Wajerat","30","70","0.78","0.54","0","0","0"
"MetkelLemat","13.237814","39.187599","Samre","41","74","0.89","0.59","0","0","0"
"Mezbr","14.34498","39.03853","Ahferom","42","44","0.92","0.03","0","62","62"
"MichelDebre","12.27402","37.71948","Libo Kemkem","75","75","1","1","0","0","0"
"Miraf","10.3807","38.35145","Shebel Berenta","55","75","0.81","1","0","0","0"
"Misema","14.1325","37.27195","Werieleke","75","75","1","1","0","0","0"
"Mitad","12.24157","37.73617","Libo Kemkem","70","75","0.76","1","0","0","0"
"MitinaYimach","11.03647","38.3508","Enesie Sar Midir","51","75","0.92","1","0","0","0"
"Mozen","10.37133","38.30749","Shebel Berenta","54","75","0.81","1","0","0","0"
"Mozutey","14.04165","39.46714","Hawzien","0","27","0.19","0.08","100","63","163"
"Mtsaiwerki","13.62158","38.78111","KolaTembien","75","75","1","1","0","0","0"
"Nagash","13.87613333","39.59755","KinteAwelo","0","27","0.22","0.14","100","43","143"
"Nebarhadinet","13.1668","39.0417","Samre","54","75","0.97","1","0","0","0"
"Nefasit","14.24565","38.38987","Medebay-Zana","75","75","1","1","0","0","0"
"Negedebrhan","13.3322","38.93058","TanquaAbergele","54","75","0.97","1","0","0","0"
"Niquara","12.2137","38.2555","Ibinat","58","67","1","0.41","0","0","0"
"Qoraro","13.86542","39.25988","Hawzien","33","55","0.81","0.3","0","0","0"
"RubaFelege","13.94422","39.72898","Atsbi","0","25","0.19","0.11","100","29","129"
"Santa gelebeda","13.82936","39.1722","KolaTembien","50","65","0.92","0.38","0","0","0"
"SaratYerawoch","11.06702","38.34412","Goncha Siso Enesie","44","75","0.81","1","0","0","0"
"Sefo","14.21603","39.19678","Ahferom","47","44","1","0.14","0","28","28"
"Segena","11.10519","38.29259","Goncha Siso Enesie","44","75","0.81","1","0","0","0"
"Seka","13.901873","38.677553","Naeder-Adet","75","75","1","1","0","0","0"
"Selamaya","12.12543","38.17502","Ibinat","74","66","1","0.27","0","0","0"
"SelamBekalsi","12.414739","39.659153","Alamata","9","66","0.81","0.92","0","0","0"
"Selamber","10.881","38.48934","Enesie Sar Midir","46","75","0.89","1","0","0","0"
"SelamgieAmbarie","11.10148","38.24068","Goncha Siso Enesie","61","75","0.92","1","0","0","0"
"SelamH","13.9531","39.44903","Hawzien","13","51","0.65","0.32","0","0","0"
"SelamW","14","39","WiereLahe","49","70","0.84","0.32","0","0","0"
"Selelkula","10.36856","38.35776","Shebel Berenta","55","75","0.81","1","0","0","0"
"SelenWuha","12.358934","39.657374","Alamata","9","66","0.81","0.92","0","0","0"
"Seloda","14.204","38.8843","Adwa","63","65","0.95","0.19","0","9","9"
"Sendada","13.96051667","39.59608333","SaesiTsaedaemba","0","31","0.32","0.19","100","21","121"
"Serawudi","12.13049","37.97077","Ibinat","75","72","1","0.22","0","10","10"
"Seret","13.04526","39.3872","Emba-Alaje","4","34","0.51","0.16","100","22","122"
"Sero","14.32078333","39.22411667","Ahferom","12","31","0.59","0.03","0","66","66"
"Shamo","12.08534","37.90094","Libo Kemkem","75","75","1","1","0","0","0"
"ShehochTehara","12.12814","37.83756","Libo Kemkem","72","73","0.78","0.11","0","7","7"
"Shekatekli","13.53678333","39.03888333","TanquaAbergele","55","75","0.92","1","0","0","0"
"Shunge","12.08237","38.1771","Ibinat","74","66","1","0.27","0","0","0"
"Simret","14.28043","39.28237","Ganta-afeshum","12","27","0.65","0.05","0","52","52"
"SimretS","12.72587333","39.50650833","Endamekoni","5","41","0.76","0.22","100","3","103"
"SimretT","13.49733","38.79772","TanquaAbergele","54","75","0.73","1","0","0","0"
