"","Name","Region","Timing","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"63","DebreAliays","Enesie Sar Midir","Early","7","67","2","25","24","10","2","10","23","18","25","17","7","29","55","45","28","17","20","25","15","14","13","15","18","29","12","23","29","19","2","0","16","48","1","53","46"
"64","Debrebirhan","Hawzien","Early","27","11","10","50","56","1","0","0","9","0","41","18","0","30","24","31","1","25","0","4","14","2","0","29","4","3","0","0","28","12","0","7","19","11","4","14","0"
"65","Debrebrhan","KinteAwelo","Early","27","13","14","25","58","1","0","0","32","0","31","38","0","33","37","24","4","25","0","2","10","6","0","27","3","9","0","7","24","12","1","10","26","19","6","20","4"
"66","DebreGenet","Enesie Sar Midir","Early","8","67","26","38","11","21","2","11","30","9","26","24","31","47","52","45","37","25","18","37","31","21","20","0","20","43","37","33","36","9","9","31","33","70","1","60","60"
"67","DebreGenetA","Adwa","Early","31","7","6","25","51","10","8","0","6","0","36","50","17","41","60","44","13","27","0","10","30","22","14","25","32","8","30","45","35","25","25","7","0","27","39","55","60"
"68","DebreGenetK","KolaTembien","Early","31","2","16","36","61","42","34","6","55","0","43","46","25","75","48","32","25","27","6","28","21","25","25","31","12","2","41","65","50","25","8","13","25","32","37","41","75"
"69","DebreGeorgis","Enesie Sar Midir","Early","8","68","0","50","11","18","2","19","25","12","21","24","31","29","42","50","29","9","19","36","12","11","12","0","17","30","18","35","28","22","3","0","19","56","1","63","51"
"70","DebreKidusan","Enesie Sar Midir","Early","8","67","18","44","9","15","17","5","38","5","26","20","14","42","50","38","43","15","17","26","26","25","16","20","20","46","39","36","36","15","0","31","52","66","0","63","63"
"71","Debremawie","Enesie Sar Midir","Early","8","67","0","30","10","15","2","13","27","16","26","23","29","29","56","46","30","17","29","30","14","19","17","15","17","33","18","25","36","9","3","0","30","51","1","60","57"
"72","Debreselam","Hawzien","Early","29","1","0","50","36","4","3","0","17","0","26","23","0","16","45","30","0","28","0","4","7","8","21","29","4","18","8","0","50","16","1","0","12","48","8","15","39"
"73","Debrinetseb","KolaTembien","Early","34","4","25","54","74","50","63","6","54","7","68","50","25","75","72","75","29","27","41","30","50","25","38","30","21","58","59","62","50","28","8","25","13","49","40","48","75"
"74","Dekera","Samre","Early","30","19","3","49","42","24","44","10","43","7","29","33","20","62","17","28","17","22","29","5","29","10","50","35","5","7","11","39","25","16","9","1","9","9","5","26","40"
"75","DembezaAmbaLay","Enesie Sar Midir","Early","8","67","0","30","10","15","2","13","27","16","26","23","29","29","56","46","30","17","29","30","14","19","17","15","17","33","18","25","36","9","3","0","30","51","1","60","57"
"76","Derit","Goncha Siso Enesie","Early","15","69","27","47","23","24","12","31","50","30","37","50","30","50","69","60","50","22","12","42","20","25","25","2","41","56","42","23","61","16","33","31","40","57","2","61","75"
"77","Derita","Libo Kemkem","Early","17","50","39","41","56","75","55","50","31","5","48","67","39","70","75","54","38","35","72","50","33","20","32","48","61","67","58","41","74","45","36","29","50","39","34","65","66"
"78","Dinkashena","Ofla","Early","23","0","1","25","2","0","1","0","31","0","25","0","3","25","26","0","15","1","13","0","9","10","11","0","18","8","0","0","9","25","0","0","0","18","0","2","3"
"79","Ebo","RayaAzebo","Early","5","0","0","25","2","0","1","0","12","0","11","0","3","38","21","0","0","0","25","6","9","5","0","3","5","0","0","0","0","0","0","0","0","0","0","6","4"
"80","Edagaarbi","Ahferom","Early","27","1","0","37","3","4","1","0","10","0","26","0","0","25","42","35","1","18","9","4","11","8","19","4","6","0","1","20","31","10","4","0","0","13","0","9","32"
"81","EmbaAhfrom","Ahferom","Early","27","5","0","36","32","5","3","0","7","0","26","25","0","25","45","20","0","29","9","5","15","8","11","23","8","0","8","0","25","21","4","0","0","7","0","5","47"
"82","EmbachekoGunaguna","Ibinat","Early","14","58","28","27","57","52","15","25","34","15","26","44","27","66","59","42","38","31","50","50","25","27","26","12","28","56","52","31","60","36","14","41","31","34","25","51","74"
"83","EndaBagerima","Adwa","Early","30","30","5","39","56","11","3","0","8","12","26","38","10","30","66","44","4","27","4","10","30","16","12","16","18","18","20","21","25","25","20","0","0","20","3","24","53"
